Area,Area Id,Variable Name,Variable Id,Year,Value
Ecuador,58,Surface water: leaving the country to other countries (total),4171,1982,163.8
Ecuador,58,Surface water: outflow to other countries not submitted to treaties,4172,1982,163.8
Ecuador,58,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Ecuador,58,Surface water: outflow to other countries secured through treaties,4174,1982,0
Ecuador,58,Surface water: total external renewable,4176,1982,0
Egypt,59,Surface water: inflow secured through treaties,4162,1982,55.5
Egypt,59,Surface water: total flow of border rivers,4165,1982,0
Egypt,59,Surface water: accounted flow of border rivers,4168,1982,0
Egypt,59,Surface water: accounted inflow,4164,1982,55.5
Egypt,59,Surface water: leaving the country to other countries (total),4171,1982,0
Egypt,59,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Egypt,59,Surface water: outflow to other countries submitted to treaties,4173,1982,0
